BC_category,Code_category,Code
Pill,NDC,00008257601
Pill,NDC,00008257602
Pill,NDC,54868395100
Pill,NDC,55887031328
Pill,NDC,00555904379
Pill,NDC,54868475400
Pill,NDC,51285057628
Pill,NDC,00555904358
Pill,NDC,54569487801
Pill,NDC,54569487800
Pill,NDC,00555906667
Pill,NDC,00555906679
Pill,NDC,00555906658
Pill,NDC,54868535600
Pill,NDC,68258596302
Pill,NDC,00555904579
Pill,NDC,00555904558
Pill,NDC,51285001728
Pill,NDC,21695099528
Pill,NDC,52544094028
Pill,NDC,51862007201
Pill,NDC,51862007206
Pill,NDC,75854060203
Pill,NDC,75854060228
Pill,NDC,52544095931
Pill,NDC,51862023803
Pill,NDC,51862023801
Pill,NDC,51285054628
Pill,NDC,35356037028
Pill,NDC,54868485100
Pill,NDC,00555904979
Pill,NDC,00555904958
Pill,NDC,23490994301
Pill,NDC,00093542358
Pill,NDC,00093542362
Pill,NDC,54868616200
Pill,NDC,00093566158
Pill,NDC,00093566128
Pill,NDC,00093542328
Pill,NDC,58016474701
Pill,NDC,54868532600
Pill,NDC,00555902858
Pill,NDC,00555902757
Pill,NDC,00555902542
Pill,NDC,00093532828
Pill,NDC,00555902658
Pill,NDC,00555902557
Pill,NDC,42254024228
Pill,NDC,00555902742
Pill,NDC,54868593500
Pill,NDC,00093532862
Pill,NDC,00555905079
Pill,NDC,54868474200
Pill,NDC,00555905058
Pill,NDC,23490767001
Pill,NDC,54569582600
Pill,NDC,00093807328
Pill,NDC,00093807316
Pill,NDC,00555906479
Pill,NDC,00555906458
Pill,NDC,00555906467
Pill,NDC,54868594200
Pill,NDC,54868486000
Pill,NDC,51285051428
Pill,NDC,00555904758
Pill,NDC,00430057014
Pill,NDC,00430000531
Pill,NDC,00071092847
Pill,NDC,00430057045
Pill,NDC,00071092815
Pill,NDC,54868394800
Pill,NDC,00555901458
Pill,NDC,00555901467
Pill,NDC,00555901479
Pill,NDC,54569384400
Pill,NDC,54868156400
Pill,NDC,55289025308
Pill,NDC,50419041128
Pill,NDC,50419043303
Pill,NDC,50419043306
Pill,NDC,50419041112
Pill,NDC,50419040603
Pill,NDC,50419040803
Pill,NDC,42254026028
Pill,NDC,51862009706
Pill,NDC,00905027721
Pill,NDC,52544027928
Pill,NDC,60322014728
Pill,NDC,00905027928
Pill,NDC,54569499700
Pill,NDC,51862009701
Pill,NDC,00430042014
Pill,NDC,00071091348
Pill,NDC,54868050200
Pill,NDC,51285012870
Pill,NDC,50090145600
Pill,NDC,51285008070
Pill,NDC,00430053014
Pill,NDC,51285007997
Pill,NDC,51285008297
Pill,NDC,51285012698
Pill,NDC,00071091347
Pill,NDC,35356047628
Pill,NDC,54868151200
Pill,NDC,35356047605
Pill,NDC,51285012797
Pill,NDC,54868610000
Pill,NDC,51285012570
Pill,NDC,51285013197
Pill,NDC,51285008498
Pill,NDC,54569654200
Pill,NDC,51285008370
Pill,NDC,00071091548
Pill,NDC,51285008198
Pill,NDC,00071091648
Pill,NDC,00071091748
Pill,NDC,35356036328
Pill,NDC,00071091745
Pill,NDC,63629266601
Pill,NDC,52544084721
Pill,NDC,54569499800
Pill,NDC,52544063128
Pill,NDC,52544024928
