text	goldStandard
serious question my boyfriend has and now i’m curious; does my iud protect against god babies? like if there’s a market for immaculate conception, am i protected?	neutral
has been proven not to work. for some it's psychological. they also use injection depo (contraception) on them too	neutral
just because you have the blessing of being able to carry a child doesn’t mean you have the right to murder it. get a contraception implant if you don’t want to have a child. i’d much prefer you be barren instead of taking a life. idiot.....	positive
need response jennifer williams ward anyone taken depo provera? did you or do you like it? what to expect?	neutral
lmfaooooo : let me see yo birth control patch bitch	neutral
« gotta birth control shot, ish hurt like hell» hell yeah	negative
iud's can suck sometimes. i feel ya sending love	mixed
contraceptive pill recalled in us	negative
my iud is seriously the best birth control ever. i’m actually having a good period . who says that	positive
finna take this pregnancy test before i get this birth control shot	neutral
morgan says: i have a question for any ladies who have/had the implanon... i got my implanon put in on friday....	neutral
ladies, never get implanon, never.	negative
omg i'm having crazy spasms/cramps. i had an iud put in 2months ago and if no one went threw this somethings wrong. i'm scared! tmi i know!	negative
at the car service dept: tv ad for iud shows woman playing with tough toddler, rolling her eyes, and saying not quite ready for another.	neutral
nothing beats watching women take their contraceptive pill on the metro platform heading to work on a friday. how can people hate america?	positive
just so we know facts: there is no science that says iuds are abortion causing. is ignorant on the facts.	positive
these trump iuds will haunt your nightmares -	negative
yes mirena iud doesn’t cause weight gain, will eventually get rid of your period and you have almost no chance of getting preggo. love it	positive
_t_weezy_ lmao. i got the iud! no more babies for 5 years. buuut yeah, that's a problem. you need to spend time with us!!	positive
what hormone pill helps you lose weight - what hormone pill helps ...: 63% - what contraceptive pill makes you los...	neutral
mt bro:even i kno wht iud isandi judge summer weathr by kind ofgoldbond i need 2put on n the mornng|ha	falsePositive
_: sooo when u gettin ya next depo shot.?	neutral
supposed to get a vag steam if you have an iud	neutral
or you could get the paragard, and have horrible periods and if it fucks up u can die but that's literally the route i go to avoid the hormones and the pregnancies. bc i'm one of those women who gets pregnant if you sneeze in my general direction.	mixed
chillllllllllllllllllll : her nuva ring popped out now i'm sweating woooooh	negative
don't like the idea of drinking out of warm plastic bottle? how about when it's in your birth control implant?	negative
whatever yal do dont fuck with a nuva ring	negative
taking prednisone on the contraceptive pill	neutral
ya know what, on monday morning i’m going to get the depo injection bc i can’t do with days of migraines every month. fuck periods	positive
okay so last night i took my first bc pill since having kenna and i have mixed emotions. who thinks i should just go ahead and get pregnant with baby mcclendon 2? let’s talk matthew into it.	mixed
looking up iud symptoms and immediately concluding i’m infertile now	negative
depo shot wednesday ugh hate they give it too you u a different place ugh	negative
missed a contraceptive pill? will i get my period? - find the answer to this question and millions more on yahoo!7...	neutral
